Año,Papalotla de Xicohténcatl,Xicohtzinco,Mazatecochco de José María Morelos,Tenancingo,Santa Catarina Ayometla
1990,63,45,24,40,
1991,68,37,42,48,
1992,82,39,33,48,
1993,69,39,38,57,
1994,98,44,31,43,
1995,76,56,35,57,
1996,78,68,32,48,20
1997,91,39,29,53,33
1998,83,54,41,46,31
1999,90,46,28,37,26
2000,90,41,33,45,24
2001,103,56,38,40,34
2002,69,49,38,45,32
2003,91,54,45,46,33
2004,99,54,44,47,28
2005,95,57,23,51,29
2006,104,73,50,56,24
2007,115,47,50,45,42
2008,98,51,40,54,35
2009,107,50,38,68,39
2010,113,57,52,38,40
2011,127,47,39,66,46
2012,126,71,51,58,51
2013,114,72,58,69,48
2014,108,70,44,56,36
2015,109,58,56,38,47
2016,113,77,66,63,50
2017,120,63,64,58,35
2018,92,56,64,80,44
2019,119,74,61,65,39
2020,180,84,117,125,83
